read(MB/s) write(MB/s) Queue_Length Utilization date time elapsed_time
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1610
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1615
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1620
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1625
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1630
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1635
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1640
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1645
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1650
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1655
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1660
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1665
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1670
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1675
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1680
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1685
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1690
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1695
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1700
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1705
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1710
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1715
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1720
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1725
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1730
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1735
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1740
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1745
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1750
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1755
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1760
0.02 0.00 0.01 0.63 2016-04-15 16:24:55 1765
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1770
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1775
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1780
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1785
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1790
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1795
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1800
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1805
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1810
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1815
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1820
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1825
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1830
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1835
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1840
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1845
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1850
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1855
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1860
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1865
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1870
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1875
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1880
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1885
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1890
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1895
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1900
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1905
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1910
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1915
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1920
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1925
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1930
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1935
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1940
